LRRLRRRLLRRLRRLRRRLRLRRLRRLRRRLRRRLRRLRLLRRLRLRRLRRLRLRLRRLRRLRRRLLRLLRRLRLRRRLRRRLLRRRLRRLRLLRRLRRRLRLLRLRLLRRRLRLRRRLLRRRLRRRLRRLLRLRLLRRLRRLLRRRLLRLLRRLRRRLRLRRRLRLRRLRLRLRRLRRLRRLLLRRRLRLRLLLRRRLLRLRRLRRRLRRLRRLRRRLRRRLRRLLRLLRRLRRRLLRRRLRLRLRRRLRRRLRRLRRLRLLRLRRLLRRLLRRRR

LRV = (NNC, BHD)
KBR = (MLH, XGR)
BJB = (RCR, LBC)
SXL = (HTF, LTX)
BLV = (TXF, SPK)
FCH = (DMS, HVX)
GPM = (HJV, JLK)
BRQ = (BLR, BTD)
LNT = (XDS, GTJ)
CHP = (TRF, PQM)
CMF = (CLT, NBM)
HNT = (SGQ, BLP)
GXG = (JFP, JHQ)
NDD = (GTJ, XDS)
KBJ = (FXP, VBJ)
RKM = (HTT, DPG)
GCQ = (CDT, TSQ)
XQX = (CCD, TVG)
BJF = (NHQ, MPM)
SFD = (MJD, MMH)
SGQ = (LNX, BRL)
NXR = (TXD, GCF)
QJH = (FJX, NFV)
RSR = (MCM, RLH)
VBG = (QFH, SXX)
PLH = (XGJ, HTP)
LTK = (SJJ, JBB)
CPK = (TMX, NRX)
BCC = (PVV, PLM)
CGC = (MCF, HFK)
TGB = (TQQ, LRV)
PCF = (GMV, DTG)
PDB = (DPG, HTT)
RFQ = (GKM, VFF)
VKZ = (GCL, VPP)
FGL = (MDS, PGM)
KRZ = (CFT, XPM)
LSR = (GRQ, KKJ)
VKM = (GRQ, KKJ)
SKT = (NXT, KRQ)
FMB = (VBH, NFJ)
RRR = (TJF, QGN)
FHT = (XMT, RKV)
HTF = (SRB, QVD)
GTJ = (CHD, PLJ)
QSM = (CMF, TDS)
VNG = (DKC, SMV)
MNT = (BKN, BKN)
VRV = (GJM, JCG)
QBC = (CKV, LCC)
GPD = (SXD, BML)
SFR = (SVD, BDL)
PBK = (VPQ, NMC)
TJF = (XDN, RMG)
HGM = (GGH, BXS)
PJB = (TPR, VMD)
FDL = (QBC, KLN)
RXB = (BSB, NLD)
MMN = (SGQ, BLP)
BDN = (BJS, NTS)
RRG = (BLV, LPG)
MBF = (DJD, FGF)
FMK = (NDG, XHN)
CMX = (VNV, KBN)
XML = (TQJ, FCX)
TKF = (HQM, LGK)
RVF = (GFG, MQN)
FJX = (GVX, FHK)
JPQ = (STP, GLH)
GLK = (PCR, BBF)
DBR = (JFQ, JFQ)
GJG = (DXX, QLR)
DRH = (QTG, GJG)
FHS = (PHB, NJH)
JCT = (CDT, TSQ)
NDM = (LVV, GPP)
LDF = (XLT, GKX)
NNX = (PQK, DRB)
VKP = (BPF, CPC)
PCG = (FJD, MRT)
TQJ = (LMN, SHR)
CVH = (BRQ, KJK)
VJT = (SLG, XGB)
QHG = (NDG, NDG)
FRL = (GDQ, SMJ)
FTF = (JPD, DCK)
VGF = (XNN, GVN)
LSB = (NMC, VPQ)
NSC = (KPQ, PNK)
QPR = (JFP, JHQ)
CRX = (MQC, HMB)
CQM = (TXD, GCF)
MBS = (LTF, KKG)
VFG = (BPB, MHX)
CCF = (HHS, LDR)
JLB = (PBK, LSB)
GNR = (CMK, FTK)
TSA = (DJG, MFF)
BDL = (BJB, XKR)
CMN = (GDQ, SMJ)
TMR = (MCN, MBF)
FFC = (MFN, STT)
VPM = (VCH, FBB)
RNX = (RGH, SDF)
RDF = (TML, PLH)
NBM = (FLQ, RBD)
MTK = (TDM, XPV)
NFK = (SLD, FRS)
PNB = (QPT, HPC)
MGH = (NDK, KGN)
CRT = (MMB, BBM)
NDG = (JGT, JGT)
GJM = (FMB, NDP)
GPP = (VDJ, CDX)
JFP = (SDH, QFJ)
TSQ = (PQG, GXT)
CNB = (SFD, MQG)
TVN = (CNP, LCS)
XDQ = (LNT, NDD)
JCG = (NDP, FMB)
NDC = (NTH, FSJ)
KRQ = (JVD, LVS)
LMF = (KPQ, PNK)
GTP = (RJD, FCH)
XTV = (VLX, RXB)
GCL = (LJJ, TTC)
THX = (RMQ, VBK)
RJD = (DMS, HVX)
VLV = (LNT, NDD)
BRD = (HTF, LTX)
SMJ = (SKV, HXP)
DLX = (FFC, GNS)
BXS = (RSR, KFB)
KTV = (PLM, PVV)
VCH = (RCF, LXP)
LHK = (SDF, RGH)
VTK = (HNM, MMM)
TRC = (PJB, CKN)
XMX = (BLH, XCF)
VDL = (PCG, DHB)
CPC = (KDC, BFD)
KNG = (VTK, DTL)
LQX = (FGL, TSP)
HXH = (JSB, LSD)
SCS = (VTX, PLG)
DRB = (TGV, QRX)
GDN = (MQX, KPC)
DPG = (NFR, BPN)
HTD = (HGV, BSZ)
GVL = (DGJ, CHP)
PMB = (MTB, JCB)
NKT = (KBJ, JJP)
KGC = (KFR, NRT)
RTT = (XPM, CFT)
LFG = (RCB, NNX)
HTT = (BPN, NFR)
MHX = (JRL, JQB)
RXS = (HQM, LGK)
CJB = (DKD, KMJ)
CXL = (LRN, LFG)
XKR = (RCR, LBC)
BLR = (MLC, CGC)
DGJ = (PQM, TRF)
CPD = (DGJ, CHP)
DRN = (TRQ, TLH)
CFT = (TSH, PHS)
PHQ = (RMQ, VBK)
SXD = (XHC, TDX)
TLQ = (VLX, RXB)
BHF = (VNV, KBN)
PFB = (MQX, KPC)
BRL = (HPN, SRJ)
XFL = (KNG, KTS)
RMX = (VBG, NTD)
HQC = (VXL, GXJ)
GHQ = (CRT, LNJ)
TXD = (VGF, VFJ)
MQG = (MJD, MMH)
HPN = (RST, VDD)
QNL = (TKF, RXS)
NGJ = (NFP, RCP)
NFB = (MHX, BPB)
GNF = (GFG, MQN)
TSP = (PGM, MDS)
QTG = (QLR, DXX)
TXF = (FQQ, HBQ)
BPB = (JQB, JRL)
NHS = (LQS, NDX)
MVV = (PBD, PBD)
GKV = (GXG, QPR)
CNX = (FTV, KFQ)
HQS = (VSX, FTS)
JSB = (MDD, SKT)
FDX = (NTS, BJS)
SNB = (VTX, PLG)
TDS = (CLT, NBM)
LKJ = (JPX, RPQ)
KGN = (SCQ, FLR)
HBD = (SXD, BML)
DSR = (MRC, BFN)
GVN = (QHD, XSJ)
MJB = (NDC, SFH)
RQS = (KND, HGR)
NFG = (NJH, PHB)
PHF = (TFN, NQQ)
MHQ = (THL, VHQ)
KXG = (FFC, GNS)
RTL = (NFK, NTM)
NJH = (VXB, DNR)
TSH = (TRJ, QTP)
STL = (GTL, HJC)
JQL = (LRN, LFG)
SHT = (BSG, PNB)
VCL = (FPP, SQP)
GKX = (LSM, GQF)
TCN = (BLV, LPG)
PLR = (JNJ, FPR)
HBG = (NBP, VKT)
RPQ = (LVH, RDF)
JTA = (TKF, RXS)
XPV = (DQM, JJD)
GJC = (LBN, HFF)
SLG = (TKM, FQH)
HFK = (VJT, DNQ)
TML = (XGJ, HTP)
VCM = (DFX, KBR)
XHC = (KHD, PHF)
JXJ = (VKJ, CVH)
NFJ = (FXL, CJB)
TDN = (JCN, SQS)
SST = (TDS, CMF)
HLN = (QKM, CCF)
MSV = (HDC, KSX)
VPG = (NBD, GTP)
XCF = (CPD, GVL)
PQK = (QRX, TGV)
FVN = (HSJ, RXR)
JBB = (PGR, HTL)
VLX = (NLD, BSB)
BMS = (HJT, PFP)
VVV = (DRH, RGF)
GTL = (KCS, MHQ)
BFD = (DTF, VTN)
DKC = (TXT, JKR)
QRB = (LQS, NDX)
NDL = (LHK, RNX)
XQQ = (LLX, QGR)
FHK = (MMN, HNT)
SNV = (KJP, BPC)
QGK = (DHB, PCG)
HVG = (KXG, DLX)
PNK = (XQD, MPP)
BFN = (PVP, NVL)
HKN = (DLL, FVN)
XGR = (QLP, TXM)
KCS = (VHQ, THL)
RCR = (SXL, BRD)
KHC = (KSX, HDC)
HXN = (RRR, JGK)
MPB = (PLR, TLV)
PRX = (RGF, DRH)
NGN = (GRC, NCT)
QRG = (PHQ, THX)
MFR = (GXJ, VXL)
QQX = (JTL, HQH)
DBN = (HJT, PFP)
LVV = (VDJ, CDX)
JVD = (RFQ, NRR)
JTL = (CRX, LRM)
FJQ = (CMX, BHF)
LNX = (HPN, SRJ)
XQD = (MLS, XPH)
MQN = (CJM, RQS)
NRT = (FNF, VCX)
CGJ = (QMK, MPB)
KRM = (GBJ, FPG)
MPP = (MLS, XPH)
BKN = (GBB, VXV)
JCB = (CNX, RTS)
CJM = (HGR, KND)
DDR = (CPK, QFP)
MGC = (FFV, QJQ)
GJP = (NHQ, NHQ)
QVD = (DPP, FQP)
RBC = (VTV, QTV)
KND = (KSV, JLB)
GGH = (RSR, KFB)
SQB = (XFL, HMP)
DJG = (LHG, GND)
DTF = (TKJ, XPL)
RXR = (VCT, SFR)
LLH = (VLV, XDQ)
SDF = (GCQ, JCT)
BLA = (XPM, CFT)
RLF = (XRH, KFF)
VDD = (DRN, GHB)
MQC = (SHQ, PCV)
VBK = (VHD, FXH)
KJK = (BLR, BTD)
JQB = (JQL, CXL)
FCX = (LMN, SHR)
MQX = (MBS, MQV)
NHQ = (RTT, RTT)
QNG = (DLX, KXG)
FTS = (KQN, GXH)
JXP = (FJQ, LVX)
JMD = (BLH, XCF)
FQQ = (SDB, GNR)
GFH = (LTK, KTT)
HDC = (NNM, HGM)
BTD = (MLC, CGC)
FLQ = (BQS, NBK)
DXP = (MCN, MBF)
QGR = (NXR, CQM)
MLS = (LSH, BJM)
FGV = (DXP, TMR)
RLR = (NFV, FJX)
NNC = (MVV, MVV)
MGK = (CSG, NMV)
FFV = (LSF, QBP)
NCT = (GNF, RVF)
SLD = (XFS, HXH)
GFR = (GPM, GLD)
CXT = (GTP, NBD)
KKG = (LVB, FKX)
VLL = (TVN, JQV)
KFQ = (CGX, NKT)
RMG = (KRM, MKC)
QFL = (TQQ, LRV)
FKX = (SMN, LDH)
QPT = (FCJ, VCM)
XPH = (LSH, BJM)
DHB = (MRT, FJD)
NBK = (QJM, GNN)
DLJ = (MNT, PCS)
TMK = (KJP, BPC)
HQM = (CMB, BVP)
TGV = (QQX, DSP)
DSP = (HQH, JTL)
DLL = (RXR, HSJ)
JLJ = (SNV, TMK)
MMM = (GJP, BJF)
BMQ = (VHX, VRV)
MKC = (GBJ, FPG)
CPL = (QBC, KLN)
SVD = (XKR, BJB)
GXH = (CPQ, BNV)
VTS = (DCK, JPD)
CNJ = (PCF, DFJ)
TDX = (PHF, KHD)
LJJ = (MSV, KHC)
DXX = (LKJ, STN)
KFF = (CNJ, XBC)
RLH = (LQX, RNJ)
LHG = (PSH, SJM)
HSJ = (VCT, SFR)
DFV = (PCR, BBF)
MLC = (HFK, MCF)
JPK = (DPD, JXP)
LVS = (RFQ, NRR)
SMN = (QCL, MQK)
RQL = (PMB, NDT)
GNS = (MFN, STT)
GDD = (DLL, FVN)
GBJ = (CNS, MJB)
LKM = (VCH, FBB)
SPK = (HBQ, FQQ)
KHD = (TFN, NQQ)
GRC = (GNF, RVF)
MLH = (TXM, QLP)
QTQ = (HFF, LBN)
LHS = (DXC, RQL)
QTV = (BMQ, KHB)
QLX = (FHT, RLL)
VKT = (BVK, HHF)
CKV = (QLD, QLD)
LBC = (SXL, BRD)
KFR = (FNF, VCX)
HDT = (BSG, PNB)
SKQ = (NDV, VKN)
TQQ = (NNC, BHD)
XHN = (JGT, VKZ)
PNS = (FTF, VTS)
QBP = (VPG, CXT)
BSG = (HPC, QPT)
GLD = (JLK, HJV)
LTF = (LVB, FKX)
RMQ = (VHD, FXH)
VXL = (GDD, HKN)
GDC = (QSM, SST)
CSS = (NDV, VKN)
BBF = (KBH, THK)
PLM = (GJC, QTQ)
PLX = (KGN, NDK)
NVZ = (RXS, TKF)
TPR = (PVJ, CVJ)
QGN = (RMG, XDN)
SQP = (LQQ, HDS)
QTT = (XRH, KFF)
PGM = (XQX, FQM)
KJP = (CSB, QHR)
PSM = (VKM, LSR)
NBA = (VPP, GCL)
CSB = (LDF, HXG)
XTH = (SGX, NLP)
STP = (CMN, FRL)
HGR = (JLB, KSV)
MRT = (XTH, SML)
DFJ = (GMV, DTG)
RBD = (BQS, NBK)
TCC = (FFV, QJQ)
PHS = (QTP, TRJ)
TQH = (LTK, KTT)
QTP = (XMX, JMD)
HFF = (PFB, GDN)
GXT = (LCT, NHC)
LMP = (RNX, LHK)
KQN = (CPQ, BNV)
JRL = (JQL, CXL)
VSX = (GXH, KQN)
XNN = (QHD, XSJ)
HPC = (VCM, FCJ)
PGJ = (QNL, QNL)
TLH = (FHS, NFG)
MMH = (RLF, QTT)
JXR = (JQV, TVN)
LDH = (MQK, QCL)
SQS = (CGJ, CFS)
VNV = (RBC, MLK)
BML = (TDX, XHC)
MGL = (QXC, LLH)
FXH = (GDC, NTV)
NLD = (MGH, PLX)
HJV = (FPL, RTL)
PLG = (DDR, PNN)
KPH = (TMR, DXP)
LRM = (HMB, MQC)
TRT = (NPC, GFR)
HTL = (SPT, QLX)
VPP = (TTC, LJJ)
FPG = (CNS, MJB)
KJN = (JGK, RRR)
PVV = (QTQ, GJC)
VPQ = (NHS, QRB)
DCC = (LHS, DGL)
